Ref_base,Ref_roll
MXG_80537916,STELLA_7312755999
MXG_80537917,STELLA_7312758043
MXG_80537918,STELLA_7312758154
MXG_80537919,STELLA_7312758140
MXG_80537929,STELLA_7312755807
MXG_80559086,STELLA_7312782777
MXG_80559098,STELLA_7312782491
MXG_80559100,STELLA_7312815586
MXG_80559101,STELLA_7312815538
MXG_80559102,STELLA_7312815474
MXG_80559109,STELLA_7312815770
MXG_80559160,STELLA_7312812367
MXG_80559173,STELLA_7312812162
MXG_80559183,STELLA_7312812143
MXG_80559186,STELLA_7312809966
MXG_80559189,STELLA_7312812004
MXG_80565476,STELLA_7312737915
MXG_80565477,STELLA_7312737889
MXG_80565478,STELLA_7312740188
MXG_80565479,STELLA_7312737898
MXG_80565480,STELLA_7312758209
MXG_80565482,STELLA_7312740374
MXG_80583692,STELLA_7312803282
MXG_80583811,STELLA_7312764835
MXG_80583827,STELLA_7312770171
MXG_80583854,STELLA_7312770581
MXG_80583908,STELLA_7312785397
MXG_80584056,STELLA_7312782036
MXG_80585478,STELLA_7312806537
MXG_80585485,STELLA_7312806625
MXG_80590269,STELLA_7312788709
MXG_80590271,STELLA_7312788708
MXG_80590282,STELLA_7312788776
MXG_80590283,STELLA_7312788784
MXG_80590284,STELLA_7312788916
MXG_80590285,STELLA_7312788790
MXG_80621916,STELLA_7312773980
MXG_80654082,STELLA_7312923529
MXG_80654083,STELLA_7312809120
MXG_80672093,STELLA_7312770192
MXG_80700634,STELLA_7312737399
MXG_80700635,STELLA_7312737577
MXG_80700637,STELLA_7312737478
MXG_80700641,STELLA_7312749156
MXG_80700654,STELLA_7312749355
MXG_80700678,STELLA_7312818568
MXG_80700680,STELLA_7312749762
MXG_80700685,STELLA_7312833683
MXG_80700687,STELLA_7312749907
MXG_80700689,STELLA_7312749808
MXG_80702425,STELLA_7312740826
MXG_80722963,STELLA_7312794936
MXG_80722964,STELLA_7312794656
MXG_80722968,STELLA_7312794670
MXG_80722969,STELLA_7312794595
MXG_80722970,STELLA_7312794815
MXG_80725110,STELLA_7312743861
MXG_80730745,STELLA_7312758645
MXG_80731899,STELLA_7312794690
MXG_80731902,STELLA_7312812020
MXG_80733928,STELLA_7312740552
MXG_80734115,STELLA_7312818005
MXG_80735645,STELLA_7312770195
MXG_80735712,STELLA_7312737251
MXG_80759343,STELLA_7312744001
MXG_80825516,STELLA_7312779819
MXG_80836725,STELLA_7312752719
MXG_80836773,STELLA_7312758585
MXG_80843097,STELLA_7312758123
MXG_80845496,STELLA_7312806304
MXG_80845497,STELLA_7312818392
MXG_80845498,STELLA_7312806033
MXG_80845499,STELLA_7312806055
MXG_80845500,STELLA_7312773962
MXG_80845501,STELLA_7312776195
MXG_80845503,STELLA_7312776207
MXG_80845545,STELLA_7312773298
MXG_80845547,STELLA_7312773486
MXG_80845548,STELLA_7312773333
MXG_80847299,STELLA_7312782886
MXG_80862182,STELLA_7312758239
MXG_80863615,STELLA_7312815196
MXG_80863630,STELLA_7312815797
MXG_80864530,STELLA_7312809724
MXG_80898337,STELLA_7312812407
MXG_80898955,STELLA_7312770501
MXG_80913629,STELLA_7312752098
MXG_80920206,STELLA_7312809714
MXG_80921796,STELLA_7312806433
MXG_80931016,STELLA_7312752172
MXG_80935573,STELLA_7312776421
MXG_80935976,STELLA_7312770975
MXG_80936225,STELLA_7312728651
MXG_80944111,STELLA_7312785942
MXG_80956851,STELLA_7312761405
MXG_80963985,STELLA_7312836620
MXG_80990136,STELLA_7312812879
MXG_80990847,STELLA_7312785253
MXG_80998102,STELLA_7312743156
MXG_81024879,STELLA_7312749651
MXG_81055067,STELLA_7312752728
MXG_81071304,STELLA_7312803390
MXG_81073307,STELLA_7312755641
MXG_81101366,STELLA_7312779332
MXG_81103187,STELLA_7312770784
MXG_81108793,STELLA_7312788541
MXG_81126297,STELLA_7312770679
